Player,Age,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,MVP,W/L%,SRS,Playoffs
Shaquille O'Neal,29,LAL,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262,2002,False,0.7070000000000001,7.15,True
Tracy McGrady,22,ORL,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.18899999999999997,2002,False,0.537,1.25,True
Kobe Bryant,23,LAL,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.8290000000000001,12.7,0.19899999999999998,2002,False,0.7070000000000001,7.15,True
Gary Payton,33,SEA,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2002,False,0.5489999999999999,3.24,True
Chris Webber,28,SAC,0.028999999999999998,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.7490000000000001,8.6,0.2,2002,False,0.7440000000000001,7.61,True
Dirk Nowitzki,23,DAL,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.47700000000000004,0.397,0.853,13.4,0.222,2002,False,0.695,4.41,True
Allen Iverson,26,PHI,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.39799999999999996,0.29100000000000004,0.812,6.9,0.126,2002,False,0.524,1.27,True
Ben Wallace,27,DET,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,2002,False,0.61,1.69,True
Paul Pierce,24,BOS,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.40399999999999997,0.809,12.9,0.187,2002,False,0.598,1.75,True
Kevin Garnett,25,MIN,0.013000000000000001,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.8009999999999999,12.8,0.19399999999999998,2002,False,0.61,3.58,True
Michael Jordan,38,WAS,0.013000000000000001,60,34.9,22.9,5.7,5.2,1.4,0.4,0.41600000000000004,0.18899999999999997,0.79,3.3,0.075,2002,False,0.451,-1.58,False
Steve Nash,27,DAL,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.16699999999999998,2002,False,0.695,4.41,True
Jerry Stackhouse,27,DET,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.10400000000000001,2002,False,0.61,1.69,True
Mike Bibby,23,SAC,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.45299999999999996,0.37,0.8029999999999999,6.3,0.113,2002,False,0.7440000000000001,7.61,True
Elton Brand,22,LAC,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,0.0,0.742,13.6,0.21600000000000003,2002,False,0.47600000000000003,-0.09,False
Peja Stojaković,24,SAC,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.41600000000000004,0.8759999999999999,9.9,0.179,2002,False,0.7440000000000001,7.61,True
Tim Duncan,26,SAS,0.8079999999999999,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,2003,True,0.732,5.65,True
Kevin Garnett,26,MIN,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.7509999999999999,15.6,0.225,2003,False,0.622,2.46,True
Kobe Bryant,24,LAL,0.41700000000000004,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.38299999999999995,0.843,14.9,0.21,2003,False,0.61,2.71,True
Tracy McGrady,23,ORL,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.7929999999999999,16.1,0.262,2003,False,0.512,-0.39,True
Shaquille O'Neal,30,LAL,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0.0,0.622,13.2,0.25,2003,False,0.61,2.71,True
Allen Iverson,27,PHI,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.27699999999999997,0.774,9.2,0.127,2003,False,0.585,1.76,True
Dirk Nowitzki,24,DAL,0.036000000000000004,80,39.0,25.1,9.9,3.0,1.4,1.0,0.46299999999999997,0.379,0.8809999999999999,16.1,0.249,2003,False,0.732,7.9,True
Ben Wallace,28,DET,0.027999999999999997,73,39.4,6.9,15.4,1.6,1.4,3.2,0.48100000000000004,0.16699999999999998,0.45,10.6,0.17600000000000002,2003,False,0.61,2.97,True
Jason Kidd,29,NJN,0.026000000000000002,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,2003,False,0.598,4.42,True
Chris Webber,29,SAC,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.23800000000000002,0.607,6.9,0.127,2003,False,0.72,6.68,True
Jamal Mashburn,30,NOH,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.42200000000000004,0.389,0.848,9.0,0.13,2003,False,0.573,1.52,True
Steve Nash,28,DAL,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.20600000000000002,2003,False,0.732,7.9,True
Paul Pierce,25,BOS,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,0.41600000000000004,0.302,0.802,10.1,0.157,2003,False,0.537,-0.75,True
Kevin Garnett,27,MIN,0.991,82,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.7909999999999999,18.3,0.272,2004,True,0.7070000000000001,5.86,True
Tim Duncan,27,SAS,0.5820000000000001,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.16699999999999998,0.599,13.1,0.249,2004,False,0.695,7.51,True
Jermaine O'Neal,25,IND,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155,2004,False,0.7440000000000001,4.93,True
